,,"Listado de productos Bioequivalentes, actualizado al 21 de Agosto de 2015",,,,,
"517","CEFUROXIMA","CEFUROXIMA COMPRIMIDOS RECUBIERTOS 500 mg","F‐21410","ASCEND LABORATORIES SpA","RESOLUCIÓN RW N° 19313","22‐09‐2014","Antibiótico"
"518","ESCITALOPRAM","ESCITAVITAE COMPRIMIDOS RECUBIERTOS 20 mg","F‐21382","GALENICUM HEALTH CHILE S.p.A.","RESOLUCIÓN RW N° 19556","24‐09‐2014","Antidepresivo"
"519","ESCITALOPRAM","ESCITAVITAE COMPRIMIDOS RECUBIERTOS 10 mg","F‐21383","GALENICUM HEALTH CHILE S.p.A.","RESOLUCIÓN RW N° 19591","24‐09‐2014","Antidepresivo"
"520","ETINILESTRADIOL / LEVONORGESTREL","MINEVA E‐20 GRAGEAS","F‐20189","MINTLAB  CO. S.A.","RESOLUCIÓN N° 5162","26‐09‐2014","Anticonceptivo"
"521","DULOXETINA","DULOXETINA CÁPSULAS CON GRÁNULOS CON RECUBRIMIENTO ENTÉRICO 60 mg","F‐20784","ASCEND LABORATORIES SpA","RESOLUCIÓN RW N° 19894","29‐09‐2014","Antidepresivo"
"522","MELOXICAM","MELODOL COMPRIMIDOS 7,5 mg (MELOXICAM)","F‐21436","LABORATORIOS RAFFO S.A.","RESOLUCIÓN RW N° 20138","01‐10‐2014","Analgésico / Antiinflamatorio"
"523","CELECOXIB","GESIX CÁPSULAS 200 mg (CELECOXIB)","F‐21435","LABORATORIOS SAVAL S.A.","RESOLUCIÓN RW N° 20247","02‐10‐2014","Analgésico / Antiinflamatorio"
"524","IBUPROFENO","IBUCON COMPRIMIDOS RECUBIERTOS 400 mg","F‐16738","LABORATORIOS  EUROMED CHILE S.A.","RESOLUCIÓN RW N° 20371","03‐10‐2014","Analgésico / Antiinflamatorio"
"525","BETAHISTINA","BETINA COMPRIMIDOS 24 mg","F‐21442","LABORATORIOS EUROMED CHILE S.A.","RESOLUCIÓN RW N° 20654","08‐10‐2014","Antivertiginoso"
"526","BETAHISTINA","BETINA COMPRIMIDOS 16 mg","F‐21443","LABORATORIOS EUROMED CHILE S.A.","RESOLUCIÓN RW N° 20675","08‐10‐2014","Antivertiginoso"
"527","BETAHISTINA","BETINA COMPRIMIDOS  8 mg","F‐21449","LABORATORIOS EUROMED CHILE S.A.","RESOLUCIÓN RW N° 20701","08‐10‐2014","Antivertiginoso"
"528","FINASTERIDA","FINASTERIDA COMPRIMIDOS RECUBIERTOS 5 mg","F‐21444","ASCEND LABORATORIES SpA","RESOLUCIÓN RW N° 20721","08‐10‐2014","Hiperplasia Prostática Benigna (HPB)"
"529","METRONIDAZOL","METROPAST COMPRIMIDOS 500 mg","F‐11648","LABORATORIO PASTEUR S.A.","RESOLUCIÓN N° 5349","10‐10‐2014","Antibiótico ‐ Antiparasitario"
"530","LEVETIRACETAM","LEVEVITAE COMPRIMIDOS RECUBIERTOS 1000 mg","F‐21461","GALENICUM HEALTH CHILE S.p.A.","RESOLUCIÓN RW N° 21175","14‐10‐2014","Antiepiléptico ‐ Estabilizador del estado de ánimo"
"531","OMEPRAZOL","ZOMEPRAL CÁPSULAS CON GRÁNULOS CON RECUBRIMIENTO ENTERICO 2O mg (OMEPRAZOL)","F‐21447","LABORATORIO CHILE S.A.","RESOLUCIÓN RW N° 21531","17‐10‐2014","Tratamiento de Ulceras Gastricas y
Reflujo Gastroesofágico"
"532","OMEPRAZOL","OMEPRAZOL CAPSULAS CON GRANULOS CON RECUBRIMIENTO ENTERICO","F‐21448","LABORATORIO CHILE S.A.","RESOLUCIÓN RW N° 21539","17‐10‐2014","Tratamiento de Ulceras Gastricas y
Reflujo Gastroesofágico"
"533","CLOZAPINA","LODUX COMPRIMIDOS 100 mg","F‐17648","SYNTHON  CHILE LTDA.","RESOLUCIÓN RW N° 21750","20‐10‐2014","Trastornos mentales"
"534","MEMANTINA","MEMANVITAE COMPRIMIDOS RECUBIERTOS 10 mg","F‐21467","GALENICUM HEALTH CHILE S.p.A.","RESOLUCIÓN RW N° 21802","21‐10‐2014","Tratamiento de Alzheimer"
"535","ÁCIDO ACETILSALICÍLICO","ÁCIDO ACETIL SALICÍLICO COMPRIMIDOS 500 mg","F‐6844","MINTLAB  CO. S.A.","RESOLUCIÓN N° 5505","24‐10‐2014","Analgésico / Antipirético"
"536","ÁCIDO ACETILSALICÍLICO","HASSAPIRIN COMPRIMIDOS 500 mg.","F‐6909","MINTLAB  CO. S.A.","RESOLUCIÓN N° 5506","24‐10‐2014","Analgésico / Antipirético"
"537","CICLOBENZAPRINA","MIO‐RELAX COMPRIMIDOS RECUBIERTOS 10 mg","F‐19589","LABORATORIOS EUROMED CHILE S.A.","RESOLUCIÓN N° 5507","24‐10‐2014","Relajante muscular"
"538","ETINILESTRADIOL / DROSPIRENONA","LADYGEX COMPRIMIDOS","F‐20497","MINTLAB  CO. S.A.","RESOLUCIÓN N° 5524","24‐10‐2014","Anticonceptivo"
"539","ALPRAZOLAM","ALPRAZOLAM COMPRIMIDOS 0,25 mg","F‐9867","MINTLAB  CO. S.A.","RESOLUCIÓN N° 5623","04‐11‐2014","Ansiedad"
"540","ALPRAZOLAM","ALPRAZOLAM COMPRIMIDOS 0,5 mg","F‐9868","MINTLAB  CO. S.A.","RESOLUCIÓN N° 5624","04‐11‐2014","Ansiedad"
"541","TRIMEBUTINA","DOLPIC COMPRIMIDOS 200 mg","F‐4152","LABORATORIO PASTEUR S.A.","RESOLUCIÓN N° 5625","04‐11‐2014","Antiespasmódico"
"542","ENALAPRIL","ENALAPRIL MALEATO COMPRIMIDOS 5 mg","F‐9887","MINTLAB  CO. S.A.","RESOLUCIÓN N° 5629","04‐11‐2014","Hipertensión arterial ‐ insuficiencia cardíaca"
"543","ENALAPRIL","DIOTENSIL COMPRIMIDOS 5 mg","F‐13775","MINTLAB  CO. S.A.","RESOLUCIÓN N° 5630","04‐11‐2014","Hipertensión arterial ‐ insuficiencia cardíaca"
"544","MEMANTINA","MEMANTINA CLORHIDRATO COMPRIMIDOS RECUBIERTOS
10 mg","F‐21511","LABORATORIOS RAFFO S.A.","RESOLUCIÓN RW N° 22703","04‐11‐2014","Tratamiento de Alzheimer"
"545","ENALAPRIL","ENALAPRIL MALEATO COMPRIMIDOS 10 mg","F‐10428","LABORATORIO MAVER S.A.","RESOLUCIÓN N° 5656","05‐11‐2014","Hipertensión arterial ‐ insuficiencia cardíaca"
"546","TAMSULOSINA","SULIX CÁPSULAS CON GRÁNULOS DE LIBERACIÓN PROLONGADA 0,4 mg (TAMSULOSINA CLORHIDRATO)","F‐21523","SYNTHON  CHILE LTDA.","RESOLUCIÓN RW N° 23006","08‐11‐2014","Cáncer de próstata"
"547","IRBESARTÁN","IRBEVITAE COMPRIMIDOS RECUBIERTOS 150 mg
(IRBESARTAN)","F‐21513","GALENICUM HEALTH CHILE S.p.A.","RESOLUCIÓN RW N° 23017","10‐11‐2014","Hipertensión arterial"
"548","IRBESARTÁN","IRBEVITAE COMPRIMIDOS RECUBIERTOS 300 mg
(IRBESARTAN)","F‐21514","GALENICUM HEALTH CHILE S.p.A.","RESOLUCIÓN RW N° 23023","10‐11‐2014","Hipertensión arterial"
"549","SERTRALINA","SEDORAN COMPRIMIDOS RECUBIERTOS 100 mg","F‐21524","LABORATORIOS RAFFO S.A.","RESOLUCIÓN RW N° 23735","19‐11‐2014","Antidepresivo"
"550","SERTRALINA","SEDORAN COMPRIMIDOS RECUBIERTOS 50mg","F‐21546","LABORATORIOS RAFFO S.A.","RESOLUCIÓN RW N° 23736","19‐11‐2014","Antidepresivo"
"551","TOPIRAMATO","AMATO COMPRIMIDOS RECUBIERTOS 100 mg","F‐19772","LABORATORIOS EUROMED CHILE S.A.","RESOLUCIÓN N° 5868","24‐11‐2014","Antiepiléptico"
"552","ÁCIDO ACETILSALICÍLICO","HASSAPIRIN INFANTIL COMPRIMIDOS 100 mg","F‐1984","MINTLAB  CO. S.A.","RESOLUCIÓN N° 5869","24‐11‐2014","Analgésico / Antipirético"
"553","ÁCIDO ACETILSALICÍLICO","ÁCIDO ACETILSALICÍLICO COMPRIMIDOS 100 mg","F‐1444","MINTLAB  CO. S.A.","RESOLUCIÓN N° 5870","24‐11‐2014","Analgésico / Antipirético"
"554","CIPROFLOXACINO","CIPROFLOXACINO COMPRIMIDOS RECUBIERTOS 500 mg","F‐21552","ASCEND LABORATORIES SpA","RESOLUCIÓN RW N° 24042","25‐11‐2014","Antibiótico"
"555","DEFLAZACORT","DISFLAX COMPRIMIDOS 30 mg","F‐19172","FAES FARMA CHILE, SALUD Y NUTRICIÓN LTDA.","RESOLUCIÓN N° 5891","26‐11‐2014","Corticoterapia"
"556","ATENOLOL","ATENOLOL COMPRIMIDOS 50 mg","F‐15201","LABORATORIOS ANDRÓMACO S.A.","RESOLUCIÓN N° 5892","26‐11‐2014","Hipertensión arterial"
"557","DEFLAZACORT","DISFLAX COMPRIMIDOS 6 mg","F‐19171","FAES FARMA CHILE, SALUD Y NUTRICIÓN LTDA.","RESOLUCIÓN N° 5893","26‐11‐2014","Corticoterapia"
"558","CLOPIDOGREL","LYVELSA COMPRIMIDOS RECUBIERTOS 75 mg
(CLOPIDOGREL)","F‐21565","BAYER S.A.","RESOLUCIÓN RW N° 24296","27‐11‐2014","Antiagregante plaquetario"
"559","LETROZOL","LETROVITAE COMPRIMIDOS RECUBIERTOS 2,5 mg","F‐21419","GALENICUM HEALTH CHILE S.p.A.","RESOLUCIÓN RW N° 24514","01‐12‐2014","Cáncer de mama"
"560","IMATINIB","MATINAC COMPRIMIDOS RECUBIERTOS 400 mg","F‐17092","PHARMA INVESTI DE CHILE S.A.","RESOLUCIÓN N° 6038","09‐12‐2014","Tratamiento de Leucemia"
"561","LAMOTRIGINA","TRADOX COMPRIMIDOS 50 mg","F‐12190","LABORATORIOS ANDRÓMACO S.A.","RESOLUCIÓN N° 6039","09‐12‐2014","Antiepiléptico ‐ Estabilizador del estado de ánimo"
"562","LEVETIRACETAM","LEVEVITAE COMPRIMIDOS RECUBIERTOS 500mg","F‐21597","GALENICUM HEALTH CHILE S.p.A.","RESOLUCIÓN RW N° 21597","10‐12‐2014","Antiepiléptico ‐ Estabilizador del estado de ánimo"
"563","METFORMINA CLORHIDRATO","METFORMINA CLORHIDRATO COMPRIMIDOS RECUBIERTOS
850 mg","F‐21588","OPKO CHILE S.A.","RESOLUCIÓN RW N° 24994","10‐12‐2014","Tratamiento de Diabetes Mellitus"
"564","TAMSULOSINA","SULIX L.C. COMPRIMIDOS DE LIBERACIÓN PROLONGADA
0,4 mg","F‐18867","SYNTHON  CHILE LTDA.","RESOLUCIÓN RW N° 25099","11‐12‐2014","Cáncer de próstata"
"565","ESCITALOPRAM","PREXAN  COMPRIMIDOS RECUBIERTOS 10 mg
(ESCITALOPRAM)","F‐21596","MINTLAB Co. S.A.","RESOLUCIÓN RW N° 25155","11‐12‐2014","Antidepresivo"
"566","ISOTRETINOÍNA","ORALNE CÁPSULAS BLANDAS 5 mg (ISOTRETINOÍNA)","F‐21607","DEUTSCHE PHARMA S.A.","RESOLUCIÓN RW N° 25378","15‐12‐2014","Tratamiento de Acné"
"567","SILDENAFIL","ENHORA COMPRIMIDOS RECUBIERTOS 100 mg","F‐19893","OPKO CHILE S.A.","RESOLUCIÓN N° 6093","16‐12‐2014","Tratamiento de la Disfunción Eréctil"
"568","SILDENAFIL","ENHORA COMPRIMIDOS RECUBIERTOS 50 mg","F‐19894","OPKO CHILE S.A.","RESOLUCIÓN N° 6094","16‐12‐2014","Tratamiento de la Disfunción Eréctil"
"569","DIAZEPAM","DIAZEPAM COMPRIMIDOS 10 mg","F‐3374","MINTLAB  CO. S.A.","RESOLUCIÓN N° 6095","16‐12‐2014","Ansiedad"
"570","IBUPROFENO","IBUPROFENO COMPRIMIDOS RECUBIERTOS 400 mg","F‐21593","ASCEND LABORATORIES SpA","RESOLUCIÓN RW N° 25408","16‐12‐2014","Analgésico / Antiinflamatorio"
"571","ESCITALOPRAM","ESCITALOPRAM COMPRIMIDOS RECUBIERTOS 10 mg","F‐21595","MINTLAB Co. S.A.","RESOLUCIÓN RW N° 25410","16‐12‐2014","Antidepresivo"
"572","IBUPROFENO","IBUPROFENO COMPRIMIDOS RECUBIERTOS 400 mg","F‐21594","ASCEND LABORATORIES SpA","RESOLUCIÓN RW N° 25444","16‐12‐2014","Analgésico / Antiinflamatorio"
"573","METFORMINA CLORHIDRATO","METFORMINA CLORHIDRATO COMPRIMIDOS RECUBIERTOS
850 mg","F‐21614","ASCEND LABORATORIES SpA","RESOLUCIÓN RW N° 25562","17‐12‐2014","Tratamiento de Diabetes Mellitus"
"574","CELECOXIB","COXDOS CÁPSULAS 200 mg","F‐21624","LABORATORIOS ANDRÓMACO S.A.","RESOLUCIÓN RW N° 25929","23‐12‐2014","Analgésico / Antiinflamatorio"
"575","PARACETAMOL","PARACETAMOL COMPRIMIDOS 500 mg","F‐20020","OPKO CHILE S.A.","RESOLUCIÓN N° 6232","26‐12‐2014","Analgésico / Antipirético"
"576","PAROXETINA","PAROXETINA COMPRIMIDOS RECUBIERTOS 20 mg","F‐16751","MINTLAB  CO. S.A.","RESOLUCIÓN N° 6274","31‐12‐2014","Antidepresivo"
"577","PAROXETINA","SUPTRAN COMPRIMIDOS RECUBIERTOS 20 mg","F‐16752","MINTLAB  CO. S.A.","RESOLUCIÓN N° 6275","31‐12‐2014","Antidepresivo"
"578","ESCITALOPRAM","ERLINIZ COMPRIMIDOS RECUBIERTOS 10 mg
(ESCITALOPRAM)","F‐21635","SANOFI‐AVENTIS DE CHILE S.A.","RESOLUCIÓN RW N° 182","06‐01‐2015","Antidepresivo"
"579","ESCITALOPRAM","ERLINIZ COMPRIMIDOS RECUBIERTOS 20 mg
(Escitalopram)","F‐21636","SANOFI‐AVENTIS DE CHILE S.A.","RESOLUCIÓN RW N° 183","06‐01‐2015","Antidepresivo"
"580","IBUPROFENO","IBUPROFENO COMPRIMIDOS RECUBIERTOS 600 mg","F‐21632","ASCEND LABORATORIES SpA","RESOLUCIÓN RW N° 225","06‐01‐2015","Analgésico / Antiinflamatorio"
"581","IBUPROFENO","IBUPROFENO COMPRIMIDOS RECUBIERTOS 600 mg","F‐21633","ASCEND LABORATORIES SpA","RESOLUCIÓN RW N° 226","06‐01‐2015","Analgésico / Antiinflamatorio"
"582","METFORMINA CLORHIDRATO","METFORMINA CLORHIDRATO COMPRIMIDOS RECUBIERTOS
1000 mg","F‐21637","INSTITUTO SANITAS S.A.","RESOLUCIÓN RW N° 231","06‐01‐2015","Tratamiento de Diabetes Mellitus"
"583","OLANZAPINA","OLEXAR COMPRIMIDOS RECUBIERTOS 10 mg","F‐21638","INDOPHARMA S.A.","RESOLUCIÓN RW N° 276","07‐01‐2015","Tratamiento de esquizofrenia"
"584","VALSARTÁN / HIDROCLOROTIAZIDA","VALVITAE PLUS 80 /12,5 COMPRIMIDOS RECUBIERTOS","F‐21640","GALENICUM HEALTH CHILE S.p.A.","RESOLUCIÓN RW N° 288","07‐01‐2015","Hipertensión arterial"
"585","VALSARTÁN / HIDROCLOROTIAZIDA","VALVITAE  PLUS 160 /25 COMPRIMIDOS RECUBIERTOS","F‐21641","GALENICUM HEALTH CHILE S.p.A.","RESOLUCIÓN RW N° 289","07‐01‐2015","Hipertensión arterial"
"586","VALSARTÁN","DOSARA COMPRIMIDOS RECUBIERTOS 160 mg
(VALSARTÁN)","F‐21657","LABORATORIOS ANDRÓMACO S.A.","RESOLUCIÓN RW N° 705","13‐01‐2015","Hipertensión arterial"
"587","VALSARTÁN","DOSARA COMPRIMIDOS RECUBIERTOS 80 mg (VALSARTAN)","F‐21658","LABORATORIOS ANDRÓMACO S.A.","RESOLUCIÓN RW N° 720","13‐01‐2015","Hipertensión arterial"
"588","ALPRAZOLAM","ALPRAZOLAM COMPRIMIDOS 0,5 mg","F‐6506","LABORATORIOS ANDRÓMACO S.A.","RESOLUCIÓN N° 144","16‐01‐2015","Ansiedad"
"589","ESCITALOPRAM","IPRAN COMPRIMIDOS RECUBIERTOS 10 mg","F‐12972","LABORATORIOS RECALCINE S.A.","RESOLUCIÓN N° 266","26‐01‐2015","Antidepresivo"
"590","CICLOBENZAPRINA","MIO‐RELAX COMPRIMIDOS RECUBIERTOS 5 mg","F‐20019","LABORATORIOS EUROMED CHILE S.A.","RESOLUCIÓN N° 267","26‐01‐2015","Relajante muscular"
"591","ESCITALOPRAM","IPRAN COMPRIMIDOS RECUBIERTOS 20 mg","F‐12973","LABORATORIOS RECALCINE S.A.","RESOLUCIÓN N° 268","26‐01‐2015","Antidepresivo"
"592","CITALOPRAM","CIMAL COMPRIMIDOS RECUBIERTOS 20 mg","F‐580","LABORATORIOS LAFI LTDA.","RESOLUCIÓN N° 269","26‐01‐2015","Antidepresivo"
"593","ENALAPRIL","ENALAPRIL MALEATO COMPRIMIDOS RECUBIERTOS 10 mg","F‐1896","LABORATORIOS ANDRÓMACO S.A.","RESOLUCIÓN N° 270","26‐01‐2015","Hipertensión arterial ‐ insuficiencia cardíaca"
"594","CITALOPRAM","CIMAL COMPRIMIDOS RECUBIERTOS 40 mg","F‐2256","LABORATORIOS LAFI LTDA.","RESOLUCIÓN N° 272","26‐01‐2015","Antidepresivo"
"595","CICLOBENZAPRINA","NOSTADEN COMPRIMIDOS RECUBIERTOS 10 mg.","F‐12150","MINTLAB  CO. S.A.","RESOLUCIÓN N° 273","26‐01‐2015","Relajante muscular"
"596","DEFLAZACORT","DEZARTAL COMPRIMIDOS 6 mg (DEFLAZACORT)","F‐21695","LABORATORIOS ANDRÓMACO S.A.","RESOLUCIÓN RW N° 1924","03‐02‐2015","Corticoterapia"
"597","QUETIAPINA","NORSIC COMPRIMIDOS RECUBIERTOS 25 mg (QUETIAPINA)","F‐21702","LABORATORIOS ANDRÓMACO S.A.","RESOLUCIÓN RW N° 2028","04‐02‐2015","Trastornos mentales"
"598","QUETIAPINA","NORSIC COMPRIMIDOS RECUBIERTOS 100 mg
(QUETIAPINA)","F‐21703","LABORATORIOS ANDRÓMACO S.A.","RESOLUCIÓN RW N° 2029","04‐02‐2015","Trastornos mentales"
"599","HIDROCLOROTIAZIDA","HIDROCLOROTIAZIDA COMPRIMIDOS 50 mg","F‐1379","LABORATORIO CHILE S.A.","RESOLUCIÓN RW N° 2059","04‐02‐2015","Diurético"
"600","LOSARTÁN","CORODIN COMPRIMIDOS RECUBIERTOS 100 mg","F‐12482","LABORATORIOS LAFI LTDA.","RESOLUCIÓN N° 453","09‐02‐2015","Hipertensión arterial"
"601","SILDENAFIL","PLUSEFEC COMPRIMIDOS RECUBIERTOS 100 mg","F‐9434","CHEMOPHARMA S.A.","RESOLUCIÓN N° 454","09‐02‐2015","Tratamiento de la Disfunción Eréctil"
"602","SILDENAFIL","ALFIN COMPRIMIDOS RECUBIERTOS 100 mg","F‐9431","INSTITUTO SANITAS S.A.","RESOLUCIÓN N° 455","09‐02‐2015","Tratamiento de la Disfunción Eréctil"
"603","PARACETAMOL","PARACETAMOL COMPRIMIDOS 500 mg","F‐4001","LABORATORIO CHILE S.A.","RESOLUCIÓN RW N° 2315","09‐02‐2015","Analgésico / Antipirético"
"604","PARACETAMOL","HEADOL COMPRIMIDOS 500 mg","F‐15246","LABORATORIOS  MDK S.A.","RESOLUCIÓN RW N° 2316","09‐02‐2015","Analgésico / Antipirético"
"605","DEFLAZACORT","DEZARTAL COMPRIMIDOS 30 mg","F‐21684","LABORATORIOS ANDRÓMACO S.A.","RESOLUCIÓN RW N° 2373","10‐02‐2015","Corticoterapia"
"606","QUETIAPINA","QUETIAPINA COMPRIMIDOS RECUBIERTOS 25 mg","F‐21710","LABORATORIOS ANDRÓMACO S.A.","RESOLUCIÓN RW N° 2509","12‐02‐2015","Trastornos mentales"
"607","QUETIAPINA","QUETIAPINA COMPRIMIDOS RECUBIERTOS 100 mg","F‐21709","LABORATORIOS ANDRÓMACO S.A.","RESOLUCIÓN RW N° 2510","12‐02‐2015","Trastornos mentales"
"608","SILDENAFIL","DIRTOP COMPRIMIDOS RECUBIERTOS 50 mg","F‐19498","MEDIPHARM LTDA.","RESOLUCIÓN RW N° 2917","20‐02‐2015","Tratamiento de la Disfunción Eréctil"
"609","SILDENAFIL","RIPOL COMPRIMIDOS RECUBIERTOS 50 mg","F‐11957","LABORATORIO CHILE S.A.","RESOLUCIÓN RW N° 2918","20‐02‐2015","Tratamiento de la Disfunción Eréctil"
"610","IBUPROFENO","BEDIATIL COMPRIMIDOS 200 mg (IBUPROFENO)","F‐6436","LABORATORIO PASTEUR S.A.","RESOLUCIÓN RW N° 2919","20‐02‐2015","Analgésico / Antiinflamatorio"
"611","IBUPROFENO","BEDIATIL 400 COMPRIMIDOS RECUBIERTOS 400 mg
(IBUPROFENO)","F‐16898","LABORATORIO PASTEUR S.A.","RESOLUCIÓN RW N° 2920","20‐02‐2015","Analgésico / Antiinflamatorio"
"612","IBUPROFENO","IBUPROFENO COMPRIMIDOS 200 mg","F‐12546","LABORATORIO PASTEUR S.A.","RESOLUCIÓN RW N° 2921","20‐02‐2015","Analgésico / Antiinflamatorio"
"613","PREGABALINA","PRESTAT COMPRIMIDOS 150 mg","F‐19906","LABORATORIO BAGÓ DE CHILE S.A.","RESOLUCIÓN RW N° 2959","21‐02‐2015","Antiepiléptico ‐ Dolores neurálgicos"
"614","CEFALEXINA","CEFALEXINA CÁPSULAS 250 mg","F‐20232","ASCEND LABORATORIES SpA","RESOLUCIÓN RW N° 2960","21‐02‐2015","Antibiótico"
"615","PREGABALINA","PRESTAT COMPRIMIDOS 75 mg","F‐19905","LABORATORIO BAGÓ DE CHILE S.A.","RESOLUCIÓN RW N° 2961","21‐02‐2015","Antiepiléptico ‐ Dolores neurálgicos"
"616","RASAGILINA","PARZET COMPRIMIDOS 1 mg","F‐21289","SYNTHON  CHILE LTDA.","RESOLUCIÓN RW N° 2962","21‐02‐2015","Tratamiento de Parkinson"
"617","DOMPERIDONA","DOMPERIDONA COMPRIMIDOS 10 mg","F‐17090","OPKO CHILE S.A.","RESOLUCIÓN RW N° 3029","23‐02‐2015","Antiemético"
"618","VALSARTÁN / HIDROCLOROTIAZIDA","VALVITAE PLUS 160 /12,5 COMPRIMIDOS RECUBIERTOS","F‐21717","GALENICUM HEALTH CHILE S.p.A.","RESOLUCIÓN RW N° 3149","25‐02‐2015","Hipertensión arterial"
"619","TACROLIMÚS","TACNI CÁPSULAS 1 mg (TACROLIMUS)","F‐21737","LABORATORIO CHILE S.A.","RESOLUCIÓN RW N° 3353","02‐03‐2015","Trasplante de órganos"
"620","TACROLIMÚS","TACNI CÁPSULAS 5 mg (TACROLIMUS)","F‐21736","LABORATORIO CHILE S.A.","RESOLUCIÓN RW N° 3354","02‐03‐2015","Trasplante de órganos"
"621","TACROLIMÚS","TACNI CÁPSULAS 0,5 mg (TACROLIMUS)","F‐21738","LABORATORIO CHILE S.A.","RESOLUCIÓN RW N° 3355","02‐03‐2015","Trasplante de órganos"
"622","LEVOFLOXACINO","LEVOFLOXACINO COMPRIMIDOS RECUBIERTOS 500 mg","F‐21740","LABORATORIOS EUROMED CHILE S.A.","RESOLUCIÓN RW N° 3373","02‐03‐2015","Antibiótico"
"623","CLOPIDOGREL","Clopidogrel comprimidos recubiertos 300 mg","F‐21739","ASCEND LABORATORIES SpA","RESOLUCIÓN RW N° 3403","03‐03‐2015","Antiagregante plaquetario"
"624","SILDENAFIL","SILDENAFILO COMPRIMIDOS RECUBIERTOS 50 mg","F‐11960","LABORATORIO CHILE S.A.","RESOLUCIÓN RW N° 3793","10‐03‐2015","Tratamiento de la Disfunción Eréctil"
"625","LOSARTÁN","LOSARTAN POTÁSICO COMPRIMIDOS RECUBIERTOS 100mg","F‐21746","ASCEND LABORATORIES SpA","RESOLUCIÓN RW N° 3806","10‐03‐2015","Hipertensión arterial"
"626","ATORVASTATINA","HIPOLIXAN COMPRIMIDOS RECUBIERTOS 20 mg","F‐9839","LABORATORIO PASTEUR S.A.","RESOLUCIÓN RW N° 3843","11‐03‐2015","Disminución del colesterol"
"627","ATORVASTATINA","HIPOLIXAN COMPRIMIDOS RECUBIERTOS 10 mg","F‐3447","LABORATORIO PASTEUR S.A.","RESOLUCIÓN RW N° 3844","11‐03‐2015","Disminución del colesterol"
"628","ATORVASTATINA","ATORVASTATINA COMPRIMIDOS RECUBIERTOS 10 mg","F‐12238","LABORATORIO PASTEUR S.A.","RESOLUCIÓN RW N° 3845","11‐03‐2015","Disminución del colesterol"
"629","CAPECITABINA","CATEGOR COMPRIMIDOS RECUBIERTOS 150 mg","F‐20373","NOVARTIS CHILE S.A.","RESOLUCIÓN N° 841","16‐03‐2015","Cáncer del tracto gastrointestinal y de mama"
"630","CAPECITABINA","CATEGOR COMPRIMIDOS RECUBIERTOS 500 mg","F‐20374","NOVARTIS CHILE S.A.","RESOLUCIÓN N° 842","16‐03‐2015","Cáncer del tracto gastrointestinal y de mama"
"631","FINASTERIDA","SANIPROSTOL COMPRIMIDOS RECUBIERTOS 5 mg","F‐8952","INSTITUTO SANITAS S.A.","RESOLUCIÓN N° 843","16‐03‐2015","Hiperplasia Prostática Benigna (HPB)"
"632","ATORVASTATINA","HIPOLIXAN COMPRIMIDOS RECUBIERTOS 40 mg","F‐13978","LABORATORIO PASTEUR S.A.","RESOLUCIÓN N° 844","16‐03‐2015","Disminución del colesterol"
"633","PARACETAMOL","SINFLU COMPRIMIDOS 500 mg","F‐11672","LABORATORIO VALMA S.A.","RESOLUCIÓN N° 899","20‐03‐2015","Analgésico / Antipirético"
"634","PRAMIPEXOL","PRAMIPEXOL DICLORHIDRATO MONOHIDRATO COMPRIMIDOS  1 mg","F‐18501","OPKO CHILE S.A.","RESOLUCIÓN N° 934","23‐03‐2015","Tratamiento de Parkinson"
"635","MOXIFLOXACINO","ALMAXOL COMPRIMIDOS RECUBIERTOS 400 mg
(MOXIFLOXACINO CLORHIDRATO)","F‐21767","MINTLAB Co. S.A.","RESOLUCIÓN RW N° 4729","24‐03‐2015","Antibiótico"
"636","MOXIFLOXACINO","MOXIFLOXACINO COMPRIMIDOS RECUBIERTOS 400 mg
(MOXIFLOXACINO CLORHIDRATO)","F‐21768","MINTLAB Co. S.A.","RESOLUCIÓN RW N° 4761","25‐03‐2015","Antibiótico"
"637","IBUPROFENO","IBUPROFENO COMPRIMIDOS RECUBIERTOS 400 mg","F‐18181","LABORATORIOS  EUROMED CHILE S.A.","RESOLUCIÓN RW N° 4773","25‐03‐2015","Analgésico / Antiinflamatorio"
"638","TERBINAFINA","TERBINAFINA COMPRIMIDOS 250 mg","F‐15330","LABORATORIO CHILE S.A.","RESOLUCIÓN RW N° 4988","27‐03‐2015","Antimicotico"
"639","SILDENAFIL","VITALFIL COMPRIMIDOS RECUBIERTOS 50 mg","F‐19892","OPKO CHILE S.A.","RESOLUCIÓN RW N° 4989","27‐03‐2015","Tratamiento de la Disfunción Eréctil"
"640","SILDENAFIL","VITALFIL COMPRIMIDOS RECUBIERTOS 100 mg","F‐19891","OPKO CHILE S.A.","RESOLUCIÓN RW N° 4990","27‐03‐2015","Tratamiento de la Disfunción Eréctil"
"641","CARVEDILOL","CILOKARE COMPRIMIDOS RECUBIERTOS 6,25 mg","F‐18682","ETEX FARMACÉUTICA LTDA.","RESOLUCIÓN RW N° 5230","31‐03‐2015","Hipertensión arterial ‐ insuficiencia cardíaca"
"642","GEMFIBROZILO","GEMFIBROZILO COMPRIMIDOS 600 mg","F‐15121","LABORATORIO PASTEUR S.A.","RESOLUCIÓN RW N° 5305","02‐04‐2015","Disminución del lípidos"
